Exercises,Age_Group,Goal,Level,Equipment,Duration_min,Impact,Muscle_group,Restrictions
Sumo Squat,Adult,Strength,Intermediate,Dumbbell,10,Medium,Legs,Knee/hip limitations
Weighted Wall Sit,Adult,Strength,Intermediate,Dumbbell,5,Medium,Legs,Knee limitations
Renegade Row,Adult,Strength,Intermediate,Dumbbell,10,High,Back,Wrist/shoulder limitations
Kettlebell Deadlift,Adult,Strength,Intermediate,Kettlebell,10,Medium,Back,Back limitations
Kettlebell Row,Adult,Strength,Intermediate,Kettlebell,10,Medium,Back,Back limitations
Standing Oblique Crunch,Adult,Core,Intermediate,None,10,Low,Abs,Back limitations
Superman Row,Adult,Strength,Intermediate,Dumbbell,10,Medium,Back,Back limitations
Lateral Band Walk,Adult,Strength,Intermediate,Resistance Band,10,Medium,Hips,Hip/knee limitations
Pistol Squat,Adult,Strength,Advanced,None,10,High,Legs,Knee/balance limitations
One-Arm Push-up,Adult,Strength,Advanced,None,10,High,Chest,Wrist/shoulder limitations
Muscle-up,Adult,Strength,Advanced,Pull-up Bar,10,High,Back,Shoulder limitations
Weighted Pull-up,Adult,Strength,Advanced,Pull-up Bar,10,High,Back,Shoulder limitations
Barbell Front Squat,Adult,Strength,Advanced,Barbell,15,High,Legs,Knee/back limitations
Barbell Sumo Deadlift,Adult,Strength,Advanced,Barbell,15,High,Back,Back limitations
Barbell Clean and Press,Adult,Strength,Advanced,Barbell,15,High,Full Body,Back/shoulder limitations
Weighted Dip,Adult,Strength,Advanced,Bench,10,High,Triceps,Shoulder limitations
Handstand Push-up,Adult,Strength,Advanced,Wall,10,High,Shoulders,Neck/wrist limitations
Archer Push-up,Adult,Strength,Advanced,None,10,High,Chest,Wrist/shoulder limitations
Plyo Push-up,Adult,Strength,Advanced,None,10,High,Chest,Wrist/shoulder limitations
High Box Jump,Adult,Endurance,Advanced,Step,10,High,Legs,Knee/joint limitations
Depth Jump,Adult,Endurance,Advanced,Step,10,High,Legs,Knee/joint limitations
Barbell Hip Thrust,Adult,Strength,Advanced,Barbell,10,Medium,Glutes,Back/hip limitations
Kettlebell Snatch,Adult,Strength,Advanced,Kettlebell,10,High,Full Body,Shoulder/back limitations
Kettlebell Clean,Adult,Strength,Advanced,Kettlebell,10,High,Full Body,Shoulder/back limitations
Turkish Get-up,Adult,Strength,Advanced,Kettlebell,15,Medium,Full Body,Shoulder limitations
Weighted Russian Twist,Adult,Core,Advanced,Dumbbell,10,Medium,Abs,Back limitations
Dragon Flag,Adult,Core,Advanced,Bench,10,High,Abs,Back limitations
L-Sit,Adult,Core,Advanced,None,5,Medium,Abs,Wrist/shoulder limitations
Weighted Step-up,Adult,Strength,Advanced,Dumbbell,10,Medium,Legs,Knee/balance limitations
Barbell Walking Lunges,Adult,Strength,Advanced,Barbell,15,High,Legs,Knee/balance limitations
Overhead Squat,Adult,Strength,Advanced,Barbell,15,High,Full Body,Shoulder/back limitations
Deficit Push-up,Adult,Strength,Advanced,Bench,10,High,Chest,Wrist/shoulder limitations
Barbell Push Press,Adult,Strength,Advanced,Barbell,10,High,Shoulders,Shoulder limitations
Single-Arm Kettlebell Press,Adult,Strength,Advanced,Kettlebell,10,Medium,Shoulders,Shoulder limitations
Weighted Pistol Squat,Adult,Strength,Advanced,Dumbbell,10,High,Legs,Knee/balance limitations
Sprint Intervals,"Teen, Adult",Endurance,Advanced,None,15,High,Legs,Joint limitations
Battle Rope Slams,Adult,Endurance,Advanced,Battle Ropes,10,High,Full Body,Shoulder/back limitations
Tuck Front Lever Hold,Adult,Core,Advanced,Pull-up Bar,5,High,Back,Shoulder limitations
